"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Number","Camping grounds, recreational vehicle parks and trailer parks","50,464,956","e"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","0.23","e"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Percentage change on previous period","Hotels and similar accommodation","1.18",""
"2010","European Union - 27 countries (2007-2013)","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-2.8","e"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation","0.33","e"
"2010","European Union - 27 countries (2007-2013)","Reporting country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-6.57","e"
"2010","European Union - 27 countries (2007-2013)","Total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","772,036,701","e"
"2010","European Union - 27 countries (2007-2013)","Total","Number","Hotels and similar accommodation","608,944,147",""
"2010","European Union - 27 countries (2007-2013)","Total","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","163,092,554","e"
"2010","European Union - 27 countries (2007-2013)","Total","Number","Holiday and other short-stay accommodation","91,945,809","e"
"2010","European Union - 27 countries (2007-2013)","Total","Number","Camping grounds, recreational vehicle parks and trailer parks","71,146,744","e"
"2010","European Union - 27 countries (2007-2013)","Total","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2.83","e"
"2010","European Union - 27 countries (2007-2013)","Total","Percentage change on previous period","Hotels and similar accommodation","3.33",""
"2010","European Union - 27 countries (2007-2013)","Total","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-0.98","e"
"2010","European Union - 27 countries (2007-2013)","Total","Percentage change on previous period","Holiday and other short-stay accommodation","2.16","e"
"2010","European Union - 27 countries (2007-2013)","Total","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-4.77","e"
